x,y,z,d
0.09,-0.8682219,0.56325443,0.000143468
-0.21,-0.2682219,0.36325443,0.000567853
0.19,-0.3682219,0.96325443,0.00106661
0.24,0.7817781,0.51325443,0.001382664
0.44,-0.5682219,0.91325443,0.001545444
0.14,-0.3182219,0.61325443,0.00202401
0.44,-0.5682219,0.66325443,0.002941743
0.34,0.2317781,0.16325443,0.003311217
-0.71,-0.7682219,0.61325443,0.003908753
0.34,0.2817781,0.11325443,0.003935173
0.24,0.4817781,0.36325443,0.005679026
-0.06,0.8317781,0.31325443,0.005732983
0.04,0.9317781,0.61325443,0.006012306
-0.01,-0.7182219,0.61325443,0.006686688
-0.36,0.1817781,0.11325443,0.006729737
0.04,-0.4182219,0.26325443,0.007036194
-0.36,0.0317781,0.41325443,0.007619038
0.24,0.6817781,0.36325443,0.007772908
0.14,0.4817781,0.76325443,0.008127973
-0.06,0.3817781,0.56325443,0.008619592
-0.11,0.5317781,0.31325443,0.008845612
-0.01,-0.0682219,0.41325443,0.009484023
-0.36,0.3317781,0.26325443,0.009610578
0.34,0.5817781,0.11325443,0.009832263
0.34,0.0817781,0.41325443,0.009951919
-0.26,-0.3182219,0.46325443,0.01046814
-0.16,-0.2682219,0.21325443,0.010689959
-0.21,-0.4682219,1.01325443,0.010838553
-0.01,1.0317781,0.71325443,0.011406645
0.14,-0.4182219,0.26325443,0.012398452
0.09,0.4317781,0.36325443,0.012601882
-0.06,0.4317781,0.76325443,0.012658775
0.14,-0.1682219,0.61325443,0.012671754
0.39,0.5317781,0.11325443,0.01344116
0.19,1.2317781,0.51325443,0.014076173
-0.26,0.6817781,0.36325443,0.014133111
0.19,-0.2682219,0.66325443,0.014190868
-0.26,0.4317781,0.46325443,0.014871329
-0.16,-0.1682219,0.16325443,0.014988989
0.29,-0.8682219,0.61325443,0.015283898
0.34,-0.9182219,0.56325443,0.015423834
-0.16,0.5317781,0.41325443,0.016930565
-0.41,-0.5682219,1.01325443,0.017239302
-0.21,-0.3682219,0.96325443,0.017311156
0.44,-0.6182219,0.86325443,0.018348143
-0.21,0.7817781,0.71325443,0.018371478
-0.11,-0.5182219,0.56325443,0.018397972
0.24,-0.8682219,0.31325443,0.018552259
-0.16,-0.9182219,0.71325443,0.018623143
0.29,-0.2682219,0.61325443,0.019328818
-0.41,-0.8182219,0.71325443,0.019688323
